english,hindi,punjabi
i am reading the lesson carefully.,मैं पाठ पढ़ रहा हूँ ध्यान से।,ਮੈਂ ਪਾਠ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
we wrote a translation system quickly.,हम एक अनुवाद प्रणाली लिखा जल्दी।,ਅਸੀਂ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਲਿਖਿਆ ਜਲਦੀ।
she learned a book at home.,वह एक किताब सीखा घर पर।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਸਿੱਖਿਆ ਘਰ ਵਿੱਚ।
we will study data science at university.,हम डेटा साइंस अध्ययन करूँगा विश्वविद्यालय में।,ਅਸੀਂ ਡਾਟਾ ਸਾਇੰਸ ਅਧਿਐਨ ਕਰਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
i will write machine learning carefully.,मैं मशीन लर्निंग लिखूँगा ध्यान से।,ਮੈਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਲਿਖਾਂਗਾ ਧਿਆਨ ਨਾਲ।
the student am reading artificial intelligence carefully.,छात्र कृत्रिम बुद्धिमत्ता पढ़ रहा हूँ ध्यान से।,ਵਿਦਿਆਰਥੀ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
she am writing a translation system at university.,वह एक अनुवाद प्रणाली लिख रहा हूँ विश्वविद्यालय में।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਲਿਖ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
she will study artificial intelligence today.,वह कृत्रिम बुद्धिमत्ता अध्ययन करूँगा आज।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਅਧਿਐਨ ਕਰਾਂਗਾ ਅੱਜ।
the student will learn the lesson at university.,छात्र पाठ सीखूँगा विश्वविद्यालय में।,ਵਿਦਿਆਰਥੀ ਪਾਠ ਸਿੱਖਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
she am reading a translation system carefully.,वह एक अनुवाद प्रणाली पढ़ रहा हूँ ध्यान से।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
the teacher will build a book carefully.,शिक्षक एक किताब बनाऊँगा ध्यान से।,ਅਧਿਆਪक ਇੱਕ ਕਿਤਾਬ ਬਣਾਂਗਾ ਧਿਆਨ ਨਾਲ।
the teacher will write artificial intelligence at university.,शिक्षक कृत्रिम बुद्धिमत्ता लिखूँगा विश्वविद्यालय में।,ਅਧਿਆਪक ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਲਿਖਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the student am building data science quickly.,छात्र डेटा साइंस बना रहा हूँ जल्दी।,ਵਿਦਿਆਰਥੀ ਡਾਟਾ ਸਾਇੰਸ ਬਣਾ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
she will write machine learning tomorrow.,वह मशीन लर्निंग लिखूँगा कल।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਲਿਖਾਂਗਾ ਕੱਲ੍ਹ।
he will build artificial intelligence today.,वह कृत्रिम बुद्धिमत्ता बनाऊँगा आज।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਬਣਾਂਗਾ ਅੱਜ।
the teacher am writing a project at home.,शिक्षक एक परियोजना लिख रहा हूँ घर पर।,ਅਧਿਆਪक ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਲਿਖ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
we learned machine learning at university.,हम मशीन लर्निंग सीखा विश्वविद्यालय में।,ਅਸੀਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਸਿੱਖਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
she will study data science at home.,वह डेटा साइंस अध्ययन करूँगा घर पर।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਅਧਿਐਨ ਕਰਾਂਗਾ ਘਰ ਵਿੱਚ।
the teacher learned a translation system at university.,शिक्षक एक अनुवाद प्रणाली सीखा विश्वविद्यालय में।,ਅਧਿਆਪक ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
we built a book at university.,हम एक किताब बनाया विश्वविद्यालय में।,ਅਸੀਂ ਇੱਕ ਕਿਤਾਬ ਬਣਾਇਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
my friend am reading a translation system at home.,मेरा दोस्त एक अनुवाद प्रणाली पढ़ रहा हूँ घर पर।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
the student will study a translation system at home.,छात्र एक अनुवाद प्रणाली अध्ययन करूँगा घर पर।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਅਧਿਐਨ ਕਰਾਂਗਾ ਘਰ ਵਿੱਚ।
they am learning machine learning quickly.,वे मशीन लर्निंग सीख रहा हूँ जल्दी।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
the teacher am building data science at university.,शिक्षक डेटा साइंस बना रहा हूँ विश्वविद्यालय में।,ਅਧਿਆਪक ਡਾਟਾ ਸਾਇੰਸ ਬਣਾ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
my friend wrote a project at home.,मेरा दोस्त एक परियोजना लिखा घर पर।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਲਿਖਿਆ ਘਰ ਵਿੱਚ।
the student am writing a book at university.,छात्र एक किताब लिख रहा हूँ विश्वविद्यालय में।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਕਿਤਾਬ ਲਿਖ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the teacher am learning the lesson today.,शिक्षक पाठ सीख रहा हूँ आज।,ਅਧਿਆਪक ਪਾਠ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਅੱਜ।
the teacher read the lesson carefully.,शिक्षक पाठ पढ़ा ध्यान से।,ਅਧਿਆਪक ਪਾਠ ਪੜ੍ਹਿਆ ਧਿਆਨ ਨਾਲ।
they built a translation system at home.,वे एक अनुवाद प्रणाली बनाया घर पर।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾਇਆ ਘਰ ਵਿੱਚ।
he will build a translation system quickly.,वह एक अनुवाद प्रणाली बनाऊँगा जल्दी।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾਂਗਾ ਜਲਦੀ।
the student studied machine learning carefully.,छात्र मशीन लर्निंग अध्ययन किया ध्यान से।,ਵਿਦਿਆਰਥੀ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਅਧਿਐਨ ਕੀਤਾ ਧਿਆਨ ਨਾਲ।
the teacher am reading a project at university.,शिक्षक एक परियोजना पढ़ रहा हूँ विश्वविद्यालय में।,ਅਧਿਆਪक ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the student will learn a project today.,छात्र एक परियोजना सीखूँगा आज।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਸਿੱਖਾਂਗਾ ਅੱਜ।
the student will learn artificial intelligence carefully.,छात्र कृत्रिम बुद्धिमत्ता सीखूँगा ध्यान से।,ਵਿਦਿਆਰਥੀ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਸਿੱਖਾਂਗਾ ਧਿਆਨ ਨਾਲ।
i am writing a project tomorrow.,मैं एक परियोजना लिख रहा हूँ कल।,ਮੈਂ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਲਿਖ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
she am studying a book at university.,वह एक किताब पढ़ाई कर रहा हूँ विश्वविद्यालय में।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
we am building a book today.,हम एक किताब बना रहा हूँ आज।,ਅਸੀਂ ਇੱਕ ਕਿਤਾਬ ਬਣਾ ਰਿਹਾ ਹਾਂ ਅੱਜ।
he am writing a translation system quickly.,वह एक अनुवाद प्रणाली लिख रहा हूँ जल्दी।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਲਿਖ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
we built data science tomorrow.,हम डेटा साइंस बनाया कल।,ਅਸੀਂ ਡਾਟਾ ਸਾਇੰਸ ਬਣਾਇਆ ਕੱਲ੍ਹ।
the teacher read artificial intelligence at home.,शिक्षक कृत्रिम बुद्धिमत्ता पढ़ा घर पर।,ਅਧਿਆਪक ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਪੜ੍ਹਿਆ ਘਰ ਵਿੱਚ।
she will study the lesson tomorrow.,वह पाठ अध्ययन करूँगा कल।,ਉਹ ਪਾਠ ਅਧਿਐਨ ਕਰਾਂਗਾ ਕੱਲ੍ਹ।
he am studying a project at university.,वह एक परियोजना पढ़ाई कर रहा हूँ विश्वविद्यालय में।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
they will learn a book tomorrow.,वे एक किताब सीखूँगा कल।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਸਿੱਖਾਂਗਾ ਕੱਲ੍ਹ।
we am studying data science today.,हम डेटा साइंस पढ़ाई कर रहा हूँ आज।,ਅਸੀਂ ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਅੱਜ।
he will build the lesson carefully.,वह पाठ बनाऊँगा ध्यान से।,ਉਹ ਪਾਠ ਬਣਾਂਗਾ ਧਿਆਨ ਨਾਲ।
he learned machine learning today.,वह मशीन लर्निंग सीखा आज।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਸਿੱਖਿਆ ਅੱਜ।
my friend will read artificial intelligence carefully.,मेरा दोस्त कृत्रिम बुद्धिमत्ता पढ़ूँगा ध्यान से।,ਮੇਰਾ ਦੋਸਤ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਪੜ੍ਹਾਂਗਾ ਧਿਆਨ ਨਾਲ।
he am writing data science quickly.,वह डेटा साइंस लिख रहा हूँ जल्दी।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਲਿਖ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
we am learning the lesson at home.,हम पाठ सीख रहा हूँ घर पर।,ਅਸੀਂ ਪਾਠ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
the teacher will read a book at home.,शिक्षक एक किताब पढ़ूँगा घर पर।,ਅਧਿਆਪक ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਾਂਗਾ ਘਰ ਵਿੱਚ।
i am reading a project quickly.,मैं एक परियोजना पढ़ रहा हूँ जल्दी।,ਮੈਂ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
they am learning a translation system at university.,वे एक अनुवाद प्रणाली सीख रहा हूँ विश्वविद्यालय में।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
we will build machine learning tomorrow.,हम मशीन लर्निंग बनाऊँगा कल।,ਅਸੀਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਬਣਾਂਗਾ ਕੱਲ੍ਹ।
they learned a translation system at home.,वे एक अनुवाद प्रणाली सीखा घर पर।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖਿਆ ਘਰ ਵਿੱਚ।
we am studying data science at university.,हम डेटा साइंस पढ़ाई कर रहा हूँ विश्वविद्यालय में।,ਅਸੀਂ ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
he studied data science carefully.,वह डेटा साइंस अध्ययन किया ध्यान से।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਅਧਿਐਨ ਕੀਤਾ ਧਿਆਨ ਨਾਲ।
we will read the lesson quickly.,हम पाठ पढ़ूँगा जल्दी।,ਅਸੀਂ ਪਾਠ ਪੜ੍ਹਾਂਗਾ ਜਲਦੀ।
they will learn data science today.,वे डेटा साइंस सीखूँगा आज।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਸਿੱਖਾਂਗਾ ਅੱਜ।
he built data science carefully.,वह डेटा साइंस बनाया ध्यान से।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਬਣਾਇਆ ਧਿਆਨ ਨਾਲ।
she studied a project today.,वह एक परियोजना अध्ययन किया आज।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਅਧਿਐਨ ਕੀਤਾ ਅੱਜ।
the student built a translation system at home.,छात्र एक अनुवाद प्रणाली बनाया घर पर।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾਇਆ ਘਰ ਵਿੱਚ।
she wrote data science quickly.,वह डेटा साइंस लिखा जल्दी।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਲਿਖਿਆ ਜਲਦੀ।
the student am reading data science at university.,छात्र डेटा साइंस पढ़ रहा हूँ विश्वविद्यालय में।,ਵਿਦਿਆਰਥੀ ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
she will study the lesson quickly.,वह पाठ अध्ययन करूँगा जल्दी।,ਉਹ ਪਾਠ ਅਧਿਐਨ ਕਰਾਂਗਾ ਜਲਦੀ।
he learned a book at university.,वह एक किताब सीखा विश्वविद्यालय में।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਸਿੱਖਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
they am reading data science tomorrow.,वे डेटा साइंस पढ़ रहा हूँ कल।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
he learned artificial intelligence quickly.,वह कृत्रिम बुद्धिमत्ता सीखा जल्दी।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਸਿੱਖਿਆ ਜਲਦੀ।
the teacher am studying a translation system tomorrow.,शिक्षक एक अनुवाद प्रणाली पढ़ाई कर रहा हूँ कल।,ਅਧਿਆਪक ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
she am reading the lesson quickly.,वह पाठ पढ़ रहा हूँ जल्दी।,ਉਹ ਪਾਠ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
she am reading artificial intelligence tomorrow.,वह कृत्रिम बुद्धिमत्ता पढ़ रहा हूँ कल।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
he am studying data science at university.,वह डेटा साइंस पढ़ाई कर रहा हूँ विश्वविद्यालय में।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the student will write the lesson today.,छात्र पाठ लिखूँगा आज।,ਵਿਦਿਆਰਥੀ ਪਾਠ ਲਿਖਾਂਗਾ ਅੱਜ।
the teacher am reading the lesson carefully.,शिक्षक पाठ पढ़ रहा हूँ ध्यान से।,ਅਧਿਆਪक ਪਾਠ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
i studied a project at home.,मैं एक परियोजना अध्ययन किया घर पर।,ਮੈਂ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਅਧਿਐਨ ਕੀਤਾ ਘਰ ਵਿੱਚ।
she will learn a project at home.,वह एक परियोजना सीखूँगा घर पर।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਸਿੱਖਾਂਗਾ ਘਰ ਵਿੱਚ।
he built a book quickly.,वह एक किताब बनाया जल्दी।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਬਣਾਇਆ ਜਲਦੀ।
they will study a book tomorrow.,वे एक किताब अध्ययन करूँगा कल।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਅਧਿਐਨ ਕਰਾਂਗਾ ਕੱਲ੍ਹ।
the student learned a translation system at home.,छात्र एक अनुवाद प्रणाली सीखा घर पर।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖਿਆ ਘਰ ਵਿੱਚ।
the student will read the lesson quickly.,छात्र पाठ पढ़ूँगा जल्दी।,ਵਿਦਿਆਰਥੀ ਪਾਠ ਪੜ੍ਹਾਂਗਾ ਜਲਦੀ।
the teacher learned a project at university.,शिक्षक एक परियोजना सीखा विश्वविद्यालय में।,ਅਧਿਆਪक ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਸਿੱਖਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the student will build a translation system tomorrow.,छात्र एक अनुवाद प्रणाली बनाऊँगा कल।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾਂਗਾ ਕੱਲ੍ਹ।
they studied a translation system tomorrow.,वे एक अनुवाद प्रणाली अध्ययन किया कल।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਅਧਿਐਨ ਕੀਤਾ ਕੱਲ੍ਹ।
my friend will study a project today.,मेरा दोस्त एक परियोजना अध्ययन करूँगा आज।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਅਧਿਐਨ ਕਰਾਂਗਾ ਅੱਜ।
they am building a translation system carefully.,वे एक अनुवाद प्रणाली बना रहा हूँ ध्यान से।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
they am studying a translation system at university.,वे एक अनुवाद प्रणाली पढ़ाई कर रहा हूँ विश्वविद्यालय में।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
he read machine learning quickly.,वह मशीन लर्निंग पढ़ा जल्दी।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਿਆ ਜਲਦੀ।
they will write a project carefully.,वे एक परियोजना लिखूँगा ध्यान से।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਲਿਖਾਂਗਾ ਧਿਆਨ ਨਾਲ।
we read a translation system tomorrow.,हम एक अनुवाद प्रणाली पढ़ा कल।,ਅਸੀਂ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹਿਆ ਕੱਲ੍ਹ।
he am writing a project at home.,वह एक परियोजना लिख रहा हूँ घर पर।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਲਿਖ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
she read machine learning quickly.,वह मशीन लर्निंग पढ़ा जल्दी।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਿਆ ਜਲਦੀ।
they am learning a project carefully.,वे एक परियोजना सीख रहा हूँ ध्यान से।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
the student studied machine learning at university.,छात्र मशीन लर्निंग अध्ययन किया विश्वविद्यालय में।,ਵਿਦਿਆਰਥੀ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਅਧਿਐਨ ਕੀਤਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
he studied a translation system carefully.,वह एक अनुवाद प्रणाली अध्ययन किया ध्यान से।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਅਧਿਐਨ ਕੀਤਾ ਧਿਆਨ ਨਾਲ।
she wrote a project at home.,वह एक परियोजना लिखा घर पर।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਲਿਖਿਆ ਘਰ ਵਿੱਚ।
the teacher will write a book at university.,शिक्षक एक किताब लिखूँगा विश्वविद्यालय में।,ਅਧਿਆਪक ਇੱਕ ਕਿਤਾਬ ਲਿਖਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
they read a book at home.,वे एक किताब पढ़ा घर पर।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਿਆ ਘਰ ਵਿੱਚ।
my friend studied machine learning tomorrow.,मेरा दोस्त मशीन लर्निंग अध्ययन किया कल।,ਮੇਰਾ ਦੋਸਤ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਅਧਿਐਨ ਕੀਤਾ ਕੱਲ੍ਹ।
we am building a translation system at home.,हम एक अनुवाद प्रणाली बना रहा हूँ घर पर।,ਅਸੀਂ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
we am learning a translation system carefully.,हम एक अनुवाद प्रणाली सीख रहा हूँ ध्यान से।,ਅਸੀਂ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
they studied the lesson at home.,वे पाठ अध्ययन किया घर पर।,ਉਹ ਪਾਠ ਅਧਿਐਨ ਕੀਤਾ ਘਰ ਵਿੱਚ।
the teacher am learning a translation system at home.,शिक्षक एक अनुवाद प्रणाली सीख रहा हूँ घर पर।,ਅਧਿਆਪक ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
they am writing artificial intelligence at home.,वे कृत्रिम बुद्धिमत्ता लिख रहा हूँ घर पर।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਲਿਖ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
they will write data science quickly.,वे डेटा साइंस लिखूँगा जल्दी।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਲਿਖਾਂਗਾ ਜਲਦੀ।
she built a translation system carefully.,वह एक अनुवाद प्रणाली बनाया ध्यान से।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾਇਆ ਧਿਆਨ ਨਾਲ।
i studied machine learning quickly.,मैं मशीन लर्निंग अध्ययन किया जल्दी।,ਮੈਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਅਧਿਐਨ ਕੀਤਾ ਜਲਦੀ।
the student am studying a project tomorrow.,छात्र एक परियोजना पढ़ाई कर रहा हूँ कल।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
we read machine learning at home.,हम मशीन लर्निंग पढ़ा घर पर।,ਅਸੀਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਿਆ ਘਰ ਵਿੱਚ।
we am studying a book quickly.,हम एक किताब पढ़ाई कर रहा हूँ जल्दी।,ਅਸੀਂ ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
we am building a project carefully.,हम एक परियोजना बना रहा हूँ ध्यान से।,ਅਸੀਂ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਬਣਾ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
the teacher will study a translation system at home.,शिक्षक एक अनुवाद प्रणाली अध्ययन करूँगा घर पर।,ਅਧਿਆਪक ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਅਧਿਐਨ ਕਰਾਂਗਾ ਘਰ ਵਿੱਚ।
we am studying the lesson at university.,हम पाठ पढ़ाई कर रहा हूँ विश्वविद्यालय में।,ਅਸੀਂ ਪਾਠ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the teacher read a book tomorrow.,शिक्षक एक किताब पढ़ा कल।,ਅਧਿਆਪक ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਿਆ ਕੱਲ੍ਹ।
we am writing a translation system carefully.,हम एक अनुवाद प्रणाली लिख रहा हूँ ध्यान से।,ਅਸੀਂ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਲਿਖ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
my friend will write machine learning at university.,मेरा दोस्त मशीन लर्निंग लिखूँगा विश्वविद्यालय में।,ਮੇਰਾ ਦੋਸਤ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਲਿਖਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
they wrote machine learning at university.,वे मशीन लर्निंग लिखा विश्वविद्यालय में।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਲਿਖਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
my friend will build a translation system tomorrow.,मेरा दोस्त एक अनुवाद प्रणाली बनाऊँगा कल।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾਂਗਾ ਕੱਲ੍ਹ।
